TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
1679144400000,344.1,344.2,341,341.4,21853.23
1679148000000,341.4,341.7,334,334.1,98503062
1679151600000,334.2,334.6,330,332.5,74195257
1679155200000,332.5,336.5,328,335.9,66231656
1679158800000,336,337,331.7,334.9,32343678
1679162400000,335,337,334.4,336.4,15640.07
1679166000000,336.4,337.8,335.6,336.2,11637212
1679169600000,336.3,338.4,335.6,337.2,13079359
1679173200000,337.1,337.9,335.2,335.7,10575301
1679176800000,335.8,336.2,332,332.1,14492068
1679180400000,332.2,333.2,330,331,23438527
1679184000000,331.1,335.5,330.3,334.9,24770684
1679187600000,335,336.3,333.7,334.4,14120312
1679191200000,334.3,334.9,333.4,334.8,6176856
1679194800000,334.9,335.1,332.9,333.7,8691543
1679198400000,333.8,334.5,331.9,332.4,9985878
1679202000000,332.4,334.9,331.9,333.7,10098181
1679205600000,333.7,335.3,333.4,334.1,10590339
1679209200000,334.2,335.8,332.6,335.8,12698974
1679212800000,335.8,335.9,334.9,335.2,12575821
1679216400000,335.2,335.8,333.9,335.4,9708756
1679220000000,335.4,336.6,334.6,334.9,10689452
1679223600000,334.9,337.7,333.2,337.1,15228157
1679227200000,337.2,340.5,337.1,340.1,20567532
1679230800000,340.1,340.2,338.2,339.4,16827404
1679234400000,339.4,340.7,339,339.5,17663082
1679238000000,339.6,341.7,338.3,339.4,25655829
1679241600000,339.4,340.4,335.1,339.3,52890074
1679245200000,339.3,339.3,336.5,337.5,21968314
1679248800000,337.5,339.5,336.9,339.5,14763552
1679252400000,339.5,341,339.3,339.7,17917.75
1679256000000,339.7,340.8,335.4,337.1,25653793
1679259600000,337.2,339.2,336.3,336.5,10041989
1679263200000,336.5,338.7,336,338.5,13808375
1679266800000,338.6,339,335.1,336.7,18879972
1679270400000,336.7,336.7,334.2,334.8,19239.32
1679274000000,334.9,337.5,333.1,337.1,17747061
1679277600000,337.1,337.1,333.6,336.1,18306075
1679281200000,336.1,336.5,332.3,333.3,21672616
1679284800000,333.3,334.8,331.6,334.7,13885.66
1679288400000,334.7,335.4,333.7,334.3,10034608
1679292000000,334.3,335.5,332.8,333.5,13011.87
1679295600000,333.5,335.8,333.5,334.7,42475501
1679299200000,334.7,338.2,334.2,337.6,39552105
1679302800000,337.6,338.2,335.9,337.4,20436.36
1679306400000,337.3,338.7,336.5,337.3,19655626
1679310000000,337.3,338.9,336.5,337.2,11890222
1679313600000,337.3,338.9,337,338.5,14721116
1679317200000,338.6,339,335,335.7,29784317
1679320800000,335.7,338,335.6,337.9,20460668
1679324400000,338,338.9,336.7,337.5,14835531
1679328000000,337.5,338.4,334.6,335.1,23961615
1679331600000,335.2,338.2,334.3,336.9,24040554
1679335200000,336.9,339.1,335.3,338.6,23559498
1679338800000,338.5,338.7,335.6,336,20263.57
1679342400000,336,336.8,334.5,335,26371901
1679346000000,335,335.7,332.6,335,28780966
1679349600000,335,337,334.7,336.3,15515858
1679353200000,336.3,336.5,331.3,332.5,21301904
1679356800000,332.5,335.6,331.6,333.3,20784512
1679360400000,333.4,336.1,332,335.2,14629224
1679364000000,335.1,335.3,333.1,335,11939.6
1679367600000,335,335.3,333.5,334.9,10862229
1679371200000,334.9,335.8,334.5,335,9252.33
1679374800000,335,335.1,331.8,331.9,13954695
1679378400000,332,332.3,330.4,331.3,20060424
1679382000000,331.3,331.5,327.1,328.7,34777342
1679385600000,328.7,332.5,327.6,331.8,25221265
1679389200000,331.9,334,331.4,332.7,24383036
1679392800000,332.6,335,332.5,334.9,19697144
1679396400000,335,335,334.1,334.9,11143827
1679400000000,334.8,337.4,334.2,337,26263621
1679403600000,337.1,338.1,335.5,336.7,32842288
1679407200000,336.7,338,334.5,335.1,29903927
1679410800000,335.2,337.9,335,337.7,17572.81
1679414400000,337.8,339.9,336.9,337.5,29069225
1679418000000,337.5,338.6,336.1,336.4,25813585
1679421600000,336.4,337.5,335,337.2,20101988
1679425200000,337.1,338.5,336.8,337.9,12936696
1679428800000,337.9,338.7,337.3,337.6,14482148
1679432400000,337.5,337.7,335.8,336.9,14766959
1679436000000,336.8,337,334.6,335.4,16588378
1679439600000,335.4,335.5,334.3,334.4,20396436
1679443200000,334.5,335.5,331.5,332.2,39886462
1679446800000,332.3,335,331.4,334.7,23151955
1679450400000,334.7,335.8,334.1,334.9,18209305
1679454000000,335,336.2,334.1,335.2,13704439
1679457600000,335.3,337.8,335.1,337.3,21228852
1679461200000,337.3,337.5,336.9,337.2,17461405
1679464800000,337.3,339.1,335.4,338.8,66801062
1679468400000,338.9,339.5,336,336.8,56795846
1679472000000,336.8,338.1,334.1,335.1,71012631
1679475600000,335.2,335.7,329.3,329.6,65008327
1679479200000,329.6,333.4,325,327.5,211018534
1679482800000,327.6,327.6,323.5,324.1,77375612
1679486400000,324.2,326.7,321.8,325.8,100404307
1679490000000,325.8,327.3,324.8,326.5,38215.23
1679493600000,326.4,330.8,326.4,328.2,55853581
1679497200000,328.3,329.8,326.2,327.8,42480.93
1679500800000,327.8,328.2,325.9,327.3,33741296
