TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
1679148000000,1815.15,1824.17,1812,1814.22,20349.2156
1679151600000,1814.22,1815.62,1773.57,1786,60306.4374
1679155200000,1786,1802.28,1747.47,1794.38,79459.3406
1679158800000,1794.38,1799.82,1762.22,1786.33,36373.6261
1679162400000,1786.33,1794.81,1780.33,1792.82,14989227
1679166000000,1792.83,1799,1787,1790.23,30908.4265
1679169600000,1790.23,1801.17,1784.14,1790.42,13733.2742
1679173200000,1790.42,1791.97,1775.9,1777.53,11010.2256
1679176800000,1777.52,1780.81,1763.28,1769.18,20922.4987
1679180400000,1769.17,1773.78,1751,1758.84,27612107
1679184000000,1758.84,1780.22,1757.92,1774.75,22278.9441
1679187600000,1774.75,1786.16,1773.68,1778.33,14457.3677
1679191200000,1778.32,1783.44,1775.27,1777.78,9354.5801
1679194800000,1777.78,1784.91,1774.58,1782.52,9968.9688
1679198400000,1782.51,1786.65,1775.64,1779.14,10274736
1679202000000,1779.14,1784.22,1776.1,1777.46,10023.4408
1679205600000,1777.46,1778.59,1767.2,1769.46,14185.6949
1679209200000,1769.46,1775,1761.6,1774.8,12985.8425
1679212800000,1774.8,1779.96,1768.48,1773.75,12570.2362
1679216400000,1773.74,1779.21,1767.77,1777.29,12036.7382
1679220000000,1777.28,1779.7,1771.23,1773.93,13033.7096
1679223600000,1773.92,1788.58,1765.78,1784.66,18762.5984
1679227200000,1784.66,1795,1780,1783.43,27532.8082
1679230800000,1783.43,1785.13,1773.26,1775.79,20094.7517
1679234400000,1775.79,1790.97,1775.3,1786.2,17020.1231
1679238000000,1786.21,1812.86,1785.2,1793.61,41124687
1679241600000,1793.61,1833.18,1791.88,1816.17,59766.0157
1679245200000,1816.17,1820.19,1805.04,1808.65,29776.3999
1679248800000,1808.66,1822.52,1804.9,1822.31,22563.2799
1679252400000,1822.32,1841.36,1816.84,1821.22,56545.0641
1679256000000,1821.23,1827.89,1788,1793.82,35291.4897
1679259600000,1793.83,1812.12,1788.63,1793.64,22376.3785
1679263200000,1793.64,1808.1,1787.3,1804.98,20367341
1679266800000,1804.99,1810.16,1773.98,1780.68,28740.6947
1679270400000,1780.67,1785.46,1763.77,1771.42,31328.5825
1679274000000,1771.42,1779.4,1761.62,1774.79,22381.7584
1679277600000,1774.78,1779.82,1750.4,1766.58,32925.0012
1679281200000,1766.59,1768.45,1742,1751.4,32415.0809
1679284800000,1751.41,1755.24,1736.57,1752.14,20909.6716
1679288400000,1752.14,1759.82,1751.01,1759.17,13816.1575
1679292000000,1759.18,1763.64,1753.24,1758.22,25185.0945
1679295600000,1758.23,1793.59,1758.19,1791.5,38069.7252
1679299200000,1791.5,1803.05,1780,1788.6,48001.6934
1679302800000,1788.6,1794,1770.29,1779.77,30057.9095
1679306400000,1779.77,1783.27,1766.41,1774.64,25697.4022
1679310000000,1774.64,1787.31,1770.02,1779.41,21852.0818
1679313600000,1779.4,1782.54,1772.31,1782.02,19272.9022
1679317200000,1782.02,1782.03,1752.27,1760.26,40268.5028
1679320800000,1760.27,1777.49,1759.51,1774.25,38484311
1679324400000,1774.25,1777.7,1760.1,1763.14,22868.0109
1679328000000,1763.13,1768.88,1747.39,1752.88,41936.8446
1679331600000,1752.87,1763.57,1746.33,1747.15,21911.7047
1679335200000,1747.16,1767.31,1742,1763.24,25843.9598
1679338800000,1763.23,1764.22,1741.07,1752.97,29833.9226
1679342400000,1752.97,1760.6,1748.79,1757.58,25394.0558
1679346000000,1757.58,1761,1749.44,1753.14,25440.8319
